backbone,batch size,learning rate,weight decay,accuracy
resnet50,256,0.005,0,0.914
resnet50,256,0.01,0,0.8913333333333333
resnet50,256,0.015,0,0.91
resnet50,256,0.02,0,0.911

resnet50,256,0.015,5e-3,低
resnet50,256,0.02,5e-3,低

resnet50,256,0.005,1e-4,0.877
resnet50,256,0.01,1e-4,0.8173333333333334
resnet50,256,0.015,1e-4,0.825

resnet50,256,0.003,0,0.9096666666666666
resnet50,256,0.004,0,0.912
resnet50,256,0.005,0,0.9173333333333333
resnet50,256,0.006,0,0.9116666666666666
resnet50,256,0.007,0,0.9126666666666666
resnet50,256,0.008,0,0.909

